"GEOID","hhs_0k_10k","hhs_100k_125k","hhs_10k_15k","hhs_125k_150k","hhs_150k_200k","hhs_15k_20k","hhs_20k_25k","hhs_25k_30k","hhs_30k_35k","hhs_35k_40k","hhs_40k_45k","hhs_45k_50k","hhs_50k_60k","hhs_60k_75k","hhs_75k_100k","hhs_above_200k","hhs_total","hhs_below_eli","hhs_below_ami50","hhs_below_ami80","hhs_below_ami100","hhs_below_ami120","pct_below_eli","pct_below_ami50","pct_below_ami80","pct_below_ami100","pct_below_ami120"
"482012215003",16,44,72,0,0,32,130,126,23,0,9,41,32,55,58,0,638,268.9,399,484.85,539.016,574.4192,0.421473354231975,0.625391849529781,0.759952978056426,0.844852664576802,0.900343573667712
"482012216001",25,29,90,107,13,0,41,72,12,0,32,63,0,15,46,0,545,166.8,240,336.05,352.392,380.4704,0.30605504587156,0.440366972477064,0.616605504587156,0.646590825688073,0.698110825688073
"482012216002",0,0,0,12,0,0,0,24,0,9,0,10,78,113,14,0,260,3.6,29.67,128.91,234.728,243.2736,0.0138461538461538,0.114115384615385,0.495807692307692,0.9028,0.935667692307692
"482012216003",23,101,18,0,0,12,0,49,10,63,0,0,66,10,0,0,352,60.35,151.69,241.7,251,251,0.171448863636364,0.4309375,0.686647727272727,0.713068181818182,0.713068181818182
"482012216004",76,57,37,0,23,10,0,39,62,18,35,0,175,83,175,16,806,128.85,235.34,457.81,544.1,650.92,0.159863523573201,0.291985111662531,0.568002481389578,0.675062034739454,0.807593052109181
"482012216005",66,0,61,0,0,0,27,21,41,33,71,69,80,47,26,0,542,157.15,236.79,472.29,517.352,533.2224,0.289944649446494,0.436881918819188,0.871383763837638,0.954523985239852,0.98380516605166
"482012217001",21,41,36,15,0,0,69,20,50,0,0,69,67,116,20,0,524,129,196,340.12,449.04,461.248,0.24618320610687,0.374045801526718,0.649083969465649,0.856946564885496,0.88024427480916
"482012217002",59,0,0,0,0,16,0,72,84,18,77,0,54,33,31,0,444,85.8,242.34,382.31,414.612,433.5344,0.193243243243243,0.545810810810811,0.861058558558559,0.933810810810811,0.976428828828829
"482012217003",0,25,0,0,0,112,100,73,0,18,0,99,124,21,13,0,585,222.95,296.34,527.47,547.676,555.6112,0.381111111111111,0.506564102564103,0.90165811965812,0.936198290598291,0.949762735042735
"482012217004",127,0,0,0,0,116,13,0,73,85,59,51,143,0,38,0,705,256,382.55,667,668.976,692.1712,0.363120567375887,0.542624113475177,0.946099290780142,0.948902127659574,0.981803120567376
"482012218001",54,0,70,0,0,71,76,91,19,47,35,118,20,35,42,14,692,284.65,410.61,603.45,638.184,663.8208,0.411343930635838,0.593367052023121,0.872037572254335,0.922231213872832,0.959278612716763
"482012218002",10,0,26,0,7,47,28,11,36,62,13,0,22,33,55,0,350,112.65,197.06,257.31,290.86,324.432,0.321857142857143,0.563028571428571,0.735171428571429,0.831028571428571,0.926948571428571
"482012219001",55,0,17,0,0,25,40,26,20,8,29,46,15,35,68,0,384,140.9,188.04,283.45,319.536,361.0432,0.366927083333333,0.4896875,0.738151041666667,0.832125,0.940216666666667
"482012219002",8,10,0,0,0,13,0,14,0,0,0,19,73,27,31,0,195,23.1,35,128.89,155.612,174.5344,0.118461538461538,0.179487179487179,0.660974358974359,0.798010256410256,0.895048205128205
"482012219003",81,0,57,19,21,25,62,39,25,47,67,34,9,73,89,0,648,230.85,318.61,451.11,523.628,577.9536,0.35625,0.491682098765432,0.696157407407407,0.808067901234568,0.891903703703704
"482012220001",30,37,19,10,6,47,47,49,31,34,50,13,34,84,82,0,573,150.35,244.42,359.88,442.264,492.3168,0.26239092495637,0.426561954624782,0.628062827225131,0.771839441535777,0.859191623036649
"482012221001",52,22,66,7,5,67,0,92,75,27,80,0,110,31,93,11,738,198.8,369.01,571.17,604.836,661.6032,0.269376693766938,0.500013550135501,0.773943089430894,0.819560975609756,0.896481300813008
"482012221002",72,0,8,0,0,49,101,200,50,10,8,27,47,15,68,0,655,260,486.3,573.05,590.536,632.0432,0.396946564885496,0.742442748091603,0.874885496183206,0.901581679389313,0.964951450381679
"482012222001",33,32,110,16,0,65,55,0,16,13,27,23,9,6,41,0,446,263,287.19,351.42,359.132,384.1584,0.589686098654709,0.643923766816143,0.787937219730942,0.80522869955157,0.861341704035875
"482012222002",123,25,74,0,20,25,45,78,4,7,20,10,52,60,38,0,581,278.7,353.41,442.2,499.976,523.1712,0.479690189328744,0.608278829604131,0.761101549053356,0.860543889845095,0.90046678141136
